Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2014-06-23,32.8390202061822,34.759430701714585,32.8390202061822,34.37534713745117,2190,0.0,0.0
2014-06-24,33.99127439240869,34.95147984233105,33.83764166693684,34.22172164916992,11465,0.0,0.0
2014-06-25,34.22172340033255,34.9514816308362,34.22172340033255,34.80744934082031,3730,0.0,0.0
2014-06-26,35.14351762960399,35.52760127066025,33.41514857063697,34.519386291503906,15960,0.0,0.0
2014-06-27,34.0488824450062,37.966522216796875,34.00087290781024,37.966522216796875,24055,0.0,0.0
2014-06-30,41.75933074951172,41.75933074951172,41.75933074951172,41.75933074951172,4300,0.0,0.0
2014-07-01,45.92662811279296,45.92662811279296,44.380696762964384,45.92662811279297,53680,0.0,0.0
2014-07-02,46.48353891106115,48.221511840820305,46.08985488047282,48.22151184082031,21120,0.0,0.0
2014-07-03,50.487601332603504,50.631629943847656,49.45057774975976,50.631629943847656,31620,0.0,0.0
2014-07-04,53.15696716308593,53.15696716308593,53.15696716308593,53.15696716308594,10890,0.0,0.0
2014-07-07,54.9237461549588,55.691909694021945,50.50679939528352,53.646671295166016,104340,0.0,0.0
2014-07-08,53.08014579289046,53.08014579289046,50.96769714355468,50.96769714355469,38495,0.0,0.0
2014-07-09,50.69884304902904,50.69884304902904,48.423157336714596,48.75922775268555,24675,0.0,0.0
2014-07-10,50.30516317780626,51.18855410069659,47.64539362915587,50.95810317993164,33675,0.0,0.0
2014-07-11,51.082920804638505,53.38741124173284,50.890879019157545,50.93888854980469,23270,0.0,0.0
2014-07-14,52.42721170266157,52.42721170266157,48.39435208160514,48.81684112548828,19805,0.0,0.0
2014-07-15,48.816845106088,51.25576782226562,48.816845106088,51.255767822265625,3215,0.0,0.0
2014-07-16,53.809913635253906,53.809913635253906,53.809913635253906,53.809913635253906,12145,0.0,0.0
2014-07-17,56.498480923133826,56.498480923133826,53.771497679990055,56.19121551513672,82685,0.0,0.0
2014-07-18,57.61231983331561,58.995014190673835,54.20359164242297,58.99501419067383,34555,0.0,0.0
2014-07-21,61.26110340670192,61.942852020263665,60.684981635439506,61.94285202026367,37735,0.0,0.0
2014-07-22,64.51619439118504,65.03470611572266,63.57519000388682,65.03470611572266,18815,0.0,0.0
2014-07-23,68.2801888516962,68.2801888516962,63.392740825271616,65.0923080444336,231295,0.0,0.0
2014-07-24,65.09231981986758,65.09231981986758,61.84682846069336,61.84682846069336,42280,0.0,0.0
2014-07-25,58.77417067144949,61.846832295506765,58.77417067144949,60.675376892089844,48000,0.0,0.0
2014-07-28,60.49293149853893,63.70001355684668,60.300889713584134,63.469566345214844,34250,0.0,0.0
2014-07-30,65.48601644636805,66.63826751708984,61.64519419553621,66.63826751708984,109355,0.0,0.0
2014-07-31,69.32682589160443,69.97016906738281,68.03055008654565,69.97016906738281,55885,0.0,0.0
2014-08-01,73.167645220754,73.46531386274523,67.21437494192615,71.03599548339844,229685,0.0,0.0
2014-08-04,72.2074482387246,72.53392190714244,67.49284320185714,69.77812957763672,52745,0.0,0.0
2014-08-05,70.86316876741627,71.78496516750369,68.22260364476004,70.51749420166016,43225,0.0,0.0
2014-08-06,70.09499747390646,72.68754924468168,67.6080688881274,68.07856750488281,25610,0.0,0.0
2014-08-07,68.17458045944264,69.11558493420029,65.3515743609552,67.36801147460938,44715,0.0,0.0
2014-08-08,66.25415857778803,67.16635058441489,64.42976723875006,64.99629211425781,25225,0.0,0.0
2014-08-11,68.17458311005572,68.17458311005572,65.48600507117582,66.42700958251953,11430,0.0,0.0
2014-08-12,66.44621205942877,67.04154205644642,65.48600664050186,65.89889526367188,7400,0.0,0.0
2014-08-13,65.89888641902911,69.19239085694102,65.89888641902911,69.13478088378906,78880,0.0,0.0
2014-08-14,71.82336472072225,72.59152462247451,65.67804887777622,71.94818878173828,72140,0.0,0.0
2014-08-18,73.74377602834488,75.53935539834879,69.71090904157494,74.35830688476562,146350,0.0,0.0
2014-08-19,74.31989357095387,77.75743039036652,71.05519400295819,76.73001098632812,138675,0.0,0.0
2014-08-20,77.66140914623038,80.56123352050781,77.33494283067883,80.56123352050781,67115,0.0,0.0
2014-08-21,83.3458294287468,84.58448791503906,81.91511814631635,84.58448791503906,82405,0.0,0.0
2014-08-22,88.80939045656251,88.80939045656251,80.35958780188255,81.85750579833984,184960,0.0,0.0
2014-08-25,85.34304604658779,85.34304604658779,79.71624229572433,80.6956558227539,67290,0.0,0.0
2014-08-26,79.88908676744158,79.88908676744158,76.66279602050781,76.66279602050781,33835,0.0,0.0
2014-08-27,72.85079843872286,80.49403381347656,72.83159022509155,80.49403381347656,212345,0.0,0.0
2014-08-28,84.45964772321932,84.5172576904297,82.64486049825008,84.51725769042969,42310,0.0,0.0
2014-09-01,88.14684207623061,88.7421646237903,83.16337464301108,85.25662231445312,107930,0.0,0.0
2014-09-02,86.41849172909161,87.57073535516497,84.11399715115857,85.00698852539062,64915,0.0,0.0
2014-09-03,87.2826714311107,87.2826714311107,82.56805944902581,82.78890991210938,72675,0.0,0.0
2014-09-04,83.34583554447882,85.45828459286437,83.17299827137192,84.63250732421875,39315,0.0,0.0
2014-09-05,85.26624083707529,88.85740691391031,84.5748917900299,86.33206939697266,57355,0.0,0.0
2014-09-08,89.98085037624413,90.64339447021484,86.41848909380495,90.64339447021484,44600,0.0,0.0
2014-09-09,95.17555236816406,95.17555236816406,93.24553765593666,95.17555236816406,73940,0.0,0.0
2014-09-10,97.82571401300041,99.9285659790039,97.81611723449834,99.9285659790039,43935,0.0,0.0
2014-09-11,104.92164529725522,104.92164529725522,95.06033864317297,98.5938949584961,125655,0.0,0.0
2014-09-12,97.94094929093383,97.94094929093383,94.1001277501129,96.6830825805664,54785,0.0,0.0
2014-09-15,100.79276251136014,101.5129165649414,95.25237322336815,101.5129165649414,84415,0.0,0.0
2014-09-16,105.58417584913053,106.58279025857537,96.4430244484973,96.99034118652344,174655,0.0,0.0
2014-09-17,98.90115342088538,101.4649000086557,92.41016304806168,93.485595703125,190995,0.0,0.0
2014-09-18,93.1399268524484,97.87373992261973,93.1399268524484,96.29900360107422,42170,0.0,0.0
2014-09-19,97.93133383041034,100.6199115275501,93.71603326419981,94.5514144897461,40715,0.0,0.0
2014-09-22,94.1001197486671,94.48420333524724,89.8272090781488,91.507568359375,63580,0.0,0.0
2014-09-23,91.89165535511219,94.24416301912393,88.7229818786725,89.36631774902344,41335,0.0,0.0
2014-09-24,89.29909153836044,90.8354185297774,84.90134957322914,85.12220001220703,43970,0.0,0.0
2014-09-25,86.17841817161951,86.18802227500312,80.86848449707031,80.86848449707031,47415,0.0,0.0
2014-09-26,77.00846855243988,81.61745730715839,76.82603451175814,77.24851989746094,75205,0.0,0.0
