Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2006-08-30,11.551865141849541,12.42472558086779,11.317095761698296,12.21102523803711,3424020,0.0,0.0
2006-08-31,12.340446536607708,12.460841543091956,11.66623675045958,11.783621788024902,2892267,0.0,0.0
2006-09-01,11.804692385680152,12.250152093602503,11.79867244704407,11.973244667053223,1845066,0.0,0.0
2006-09-04,12.936402027735435,12.936402027735435,12.087620621125179,12.545120239257812,4236636,0.0,0.0
2006-09-05,12.587256807838402,12.635416317506662,12.117718839830058,12.183935165405273,2579774,0.0,0.0
2006-09-06,12.334427881142329,12.340447819606053,12.039461397184631,12.090628623962402,1850592,0.0,0.0
2006-09-07,12.13045138797771,12.559306042259278,12.017111976345378,12.228475570678711,3339031,0.267887,0.0
2006-09-08,12.240729298277916,12.400017454336002,12.02323899594609,12.139641761779785,1577046,0.0,0.0
2006-09-11,12.4980410913776,12.4980410913776,10.9847975683515,11.13183307647705,2458934,0.0,0.0
2006-09-12,11.1808468119454,11.392210419251846,10.813256867611518,11.168593406677246,3814238,0.0,0.0
2006-09-13,12.246853213872846,12.48884952254326,11.364639508825388,12.243790626525879,7654489,0.0,0.0
2006-09-14,12.43677838815828,12.988161824389255,12.252983400509965,12.844189643859863,14348688,0.0,0.0
2006-09-15,12.804364195698838,12.926894409338617,12.577683872982831,12.859503746032715,8876646,0.0,0.0
2006-09-18,12.865631500870558,12.988160975725203,12.439840926897272,12.513359069824219,3219759,0.0,0.0
2006-09-19,12.638949145865249,12.743100022811898,12.452091611582214,12.494976997375488,3060233,0.0,0.0
2006-09-20,12.49804029281674,12.55624166946172,12.20703188287822,12.449028968811035,2409978,0.0,0.0
2006-09-21,12.498039153835744,13.171952621905884,12.467406411186616,13.018791198730469,10623149,0.0,0.0
2006-09-22,13.049425719224741,13.135196499316926,12.74003793531069,12.825809478759766,5782914,0.0,0.0
2006-09-25,12.743098852219296,12.801300223776078,12.25297954815598,12.314244270324707,2516734,0.0,0.0
2006-09-26,12.427585152227543,12.48272393975044,12.038552578846726,12.185588836669922,2823309,0.0,0.0
