Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2006-08-30,30.573828328278374,31.4101947454138,30.356991493259784,30.480897903442383,30292,0.0,0
2006-08-31,30.35699388981608,30.759689137501574,29.582581851033474,29.76844024658203,17149,0.0,0
2006-09-01,29.303785703298292,30.666751044849534,29.303785703298292,30.140151977539062,54804,0.0,0
2006-09-04,27.971794731691013,32.21557819328024,27.971794731691013,30.883588790893555,72296,0.0,0
2006-09-05,31.25531173016625,31.25531173016625,30.356990891353007,30.66675567626953,21367,0.0,0
2006-09-06,30.66675885338156,30.976523670390076,30.356994036373038,30.44992446899414,18268,0.0,0
2006-09-07,28.808165592531918,30.852617694492302,28.808165592531918,30.23308563232422,13847,0.0,0
2006-09-08,30.233083341226084,31.255310549138812,30.233083341226084,30.852615356445312,77019,0.0,0
2006-09-11,30.72870573706517,30.976516048418848,29.148903584005126,29.365737915039062,33874,0.0,0
2006-09-12,27.94082659842228,29.551607688663243,27.94082659842228,28.994029998779297,30920,0.0,0
2006-09-13,29.055973682198392,30.356987097533214,28.870115328235073,29.1179256439209,28180,0.0,0
2006-09-14,29.117928385230538,30.3569899554944,29.117928385230538,29.613554000854492,36858,0.0,0
2006-09-15,29.27280871475388,29.489645523542652,29.11792633796012,29.241832733154297,29190,0.0,0
2006-09-18,29.241834789136526,29.892342792443962,29.241834789136526,29.613554000854492,22393,0.0,0
2006-09-19,30.23307865383763,30.356985037670817,28.839137390504433,28.963041305541992,57665,0.0,0
2006-09-20,28.963048907149076,29.64453296269528,28.374495281067077,28.80816650390625,34801,0.0,0
2006-09-21,28.808159512086196,29.61354978851547,28.560349208319685,28.777183532714844,65510,0.0,0
2006-09-22,28.808169122953647,29.613559668074124,28.49840428830623,28.994029998779297,74344,0.0,0
2006-09-25,28.994023490356966,29.861365820191992,28.498397891139266,28.560352325439453,75633,0.0,0
2006-09-26,28.777186608883408,28.932068991092176,28.219609045413467,28.498397827148438,43805,0.0,0
2006-09-27,28.80816650390625,29.737463392159487,28.715238543238318,28.80816650390625,58386,0.0,0
2006-09-28,29.055980814574585,30.790665794167744,28.68426401540257,29.737464904785156,199496,0.0,0
2006-09-29,29.737460404760483,30.604802763306377,29.334765209265026,29.613554000854492,58022,0.0,0
2006-10-03,30.356987413636897,30.356987413636897,29.582575540062717,29.70648193359375,52589,0.0,0
2006-10-04,29.706488294103064,30.356993913427132,29.551605886226078,29.923322677612305,50650,0.0,0
2006-10-05,30.573827760334126,31.31726373882338,29.92331973615846,30.821638107299805,126921,0.0,0
2006-10-06,30.82163690408734,31.59605130591238,30.418944180189857,30.852615356445312,80859,0.0,0
2006-10-09,30.85261654391003,31.069450905985338,30.35699091265886,30.573827743530273,40853,0.0,0
2006-10-10,30.573830292697167,31.44117275090738,30.573830292697167,30.790664672851562,34369,0.0,0
2006-10-11,31.472142720395592,31.472142720395592,30.202105263263434,30.326011657714844,28072,0.0,0
2006-10-12,30.109180611127766,30.945547082103026,29.76843981278806,30.54285430908203,20395,0.0,0
2006-10-13,30.54284846520377,31.100423537041358,30.047222887398128,30.326011657714844,24903,0.0,0
2006-10-16,30.32601667594668,30.75968789389093,30.04722785949707,30.04722785949707,18312,0.0,0
2006-10-17,29.89233843149774,30.295033568244637,29.737456066409806,29.95429039001465,13966,0.0,0
2006-10-18,29.923316794757998,30.10917515391179,29.42769368074926,29.458669662475586,24382,0.0,0
2006-10-19,29.458669662475582,30.01624720873283,29.241832852799604,29.458669662475586,12205,0.0,0
2006-10-20,29.458674121791297,29.86136935157918,29.303791720918454,29.427698135375977,14100,0.0,0
2006-10-23,29.365740527010924,29.86136613139381,28.994023792519734,29.396718978881836,19383,0.0,0
2006-10-26,29.148906751568674,29.58257792955863,29.086952315400953,29.303789138793945,29128,0.0,0
2006-10-27,29.241837279291577,29.73746293712166,29.241837279291577,29.427698135375977,26619,0.0,0
2006-10-30,29.36573785408174,29.98526980316929,28.93206672411833,29.21085548400879,39629,0.0,0
2006-10-31,29.427698585673834,29.58258098891666,28.62230811377411,28.80816650390625,30214,0.0,0
2006-11-01,28.436444772518648,29.613551819734305,28.436444772518648,28.839139938354492,22655,0.0,0
2006-11-02,28.839139816178438,29.36573890576745,28.52937259614298,28.622303009033203,20850,0.0,0
2006-11-03,28.62229792104884,29.086944965311233,28.188626852644862,28.59132194519043,38186,0.0,0
2006-11-06,28.49839683078509,29.613551918736828,28.49839683078509,29.241832733154297,23609,0.0,0
2006-11-07,29.241830629672187,29.427691443491668,28.68425559460078,28.777183532714844,35246,0.0,0
2006-11-08,28.77719171264184,29.086956531997497,28.250590038459396,28.374496459960938,26660,0.0,0
2006-11-09,28.37448517659074,28.80815624499472,28.188626852644862,28.59132194519043,15147,0.0,0
2006-11-10,28.967946961405335,28.967946961405335,28.59133129888452,28.68548583984375,15453,0.574366,0
2006-11-13,28.68548583984375,29.187637555222064,28.622715312098894,28.68548583984375,20406,0.0,0
2006-11-14,28.6854855626043,29.0621012214852,28.120563324940985,28.214717864990234,29106,0.0,0
2006-11-15,28.21471713272153,28.30886916901112,27.869485495711626,28.05779457092285,14506,0.0,0
2006-11-16,28.559949564124633,29.344562463659347,27.93225674318055,28.49717903137207,68647,0.0,0
2006-11-17,28.49717876696457,28.559949299134722,27.712565874709785,27.74394989013672,10971,0.0,0
2006-11-20,27.053488454074227,27.55564014747311,25.829489480443705,26.927949905395508,12927,0.0,0
2006-11-21,26.990718270813783,28.15194673414958,26.990718270813783,27.68117904663086,12702,0.0,0
2006-11-22,27.68117509315289,28.497171801379935,27.649791085397172,28.183326721191406,19428,0.0,0
2006-11-23,28.183326955749525,28.371636006482397,27.712559331548725,27.96363639831543,10566,0.0,0
2006-11-24,27.61840319459919,27.963634766587454,27.179019604054123,27.367328643798828,24093,0.0,0
2006-11-27,28.057794932742105,28.52856262420892,27.367334151134482,27.86948585510254,15433,0.0,0
2006-11-28,27.74394669424369,27.775330706055424,27.14764046455677,27.335947036743164,10154,0.0,0
2006-11-29,27.335947408064307,27.775331083344984,27.304563395826264,27.68117904663086,11998,0.0,0
2006-11-30,27.681179445849757,27.869486023309804,27.053489186772225,27.08487319946289,10645,0.0,0
2006-12-01,27.022102901650435,27.587025140131693,26.99071888869394,27.27318000793457,21098,0.0,0
2006-12-04,27.273177260984806,28.24609907385624,27.273177260984806,27.900867462158203,36214,0.0,0
2006-12-05,27.900868028047668,28.340251678043856,27.398716357187404,28.151945114135742,30105,0.0,0
2006-12-06,27.838102110361298,28.15194724102455,27.492872966894936,27.649795532226562,11372,0.0,0
2006-12-07,27.681176890889986,28.559944173015143,27.36733179031898,27.492870330810547,24216,0.0,0
2006-12-08,27.49287310126221,27.618409153088187,27.179025467748996,27.27318000793457,21385,0.0,0
2006-12-11,27.273177963965836,27.649793595166848,25.107643712520787,26.708255767822266,40256,0.0,0
2006-12-12,26.645488684055284,26.771024730889668,25.17041512059142,25.421489715576172,42450,0.0,0
2006-12-13,25.421488350973945,26.676871263773847,25.17041376946665,26.331642150878906,25336,0.0,0
2006-12-14,26.33164036236754,27.555636680690743,26.33164036236754,27.022098541259766,24299,0.0,0
2006-12-15,27.02210276958398,28.5285628986101,26.519951060785992,27.649795532226562,35992,0.0,0
2006-12-18,28.246101918798523,28.246101918798523,27.147641454792502,27.27318000793457,8127,0.0,0
2006-12-19,27.963638774615465,27.963638774615465,26.771023856785185,26.9907169342041,10606,0.0,0
2006-12-20,26.9907169342041,27.30456204367463,26.802410368784965,26.9907169342041,12872,0.0,0
2006-12-21,26.990721420864816,26.990721420864816,26.51995367840342,26.582721710205078,10796,0.0,0
2006-12-22,26.582714181450882,27.11625230592163,26.582714181450882,26.865175247192383,23637,0.0,0
2006-12-26,26.708255173787666,27.273177357366457,26.708255173787666,27.116254806518555,25169,0.0,0
2006-12-27,27.61840553348955,27.61840553348955,26.990715351358794,27.053485870361328,19219,0.0,0
2006-12-28,27.49286934012161,27.49286934012161,26.70825411565139,26.896560668945312,16319,0.0,0
2006-12-29,26.739641555917395,27.555640893771038,26.739641555917395,27.08487319946289,12274,0.0,0
2007-01-02,27.084867908299593,27.587019517200595,26.77102033875644,27.179019927978516,28752,0.0,0
2007-01-03,27.17902307290981,27.9636383355835,26.990716510447104,27.304561614990234,42579,0.0,0
2007-01-04,27.304561269415274,27.806715431381555,27.304561269415274,27.492870330810547,16539,0.0,0
2007-01-05,27.33594879842379,28.21471869499712,27.33594879842379,27.71256446838379,23526,0.0,0
2007-01-08,27.05348493277583,28.403019778112782,26.425792271083097,28.183326721191406,23984,0.0,0
2007-01-09,28.183324538638374,28.748246639755703,27.93224749340501,27.995018005371094,19799,0.0,0
2007-01-10,28.811021255438632,28.811021255438632,27.61840637136701,27.900867462158203,11869,0.0,0
2007-01-11,27.618405139202693,27.932250225787545,27.430098587514927,27.775327682495117,13059,0.0,0
2007-01-12,27.775332496052375,28.528563835972374,27.6497964407152,27.71256446838379,19473,0.0,0
2007-01-15,28.30886816696116,28.62271327944933,27.86948450921454,28.120561599731445,33597,0.0,0
2007-01-16,28.24609897676257,28.40302152651651,27.806715337188372,28.277482986450195,28388,0.0,0
2007-01-17,28.21471619845343,28.685483868261027,28.120561663965535,28.40302276611328,33954,0.0,0
2007-01-18,28.308867633243068,29.344557485454125,28.308867633243068,28.81102180480957,40702,0.0,0
2007-01-19,28.8110188124594,29.375940946140226,28.434403222900315,28.591325759887695,24326,0.0,0
2007-01-22,28.81101914217678,29.37594128232265,28.34024902451145,28.654096603393555,44338,0.0,0
2007-01-23,28.559942015085365,29.50147724565795,28.497171498924473,28.779632568359375,41612,0.0,0
2007-01-24,28.55994045055508,29.438707618143034,28.403017920722622,28.8424015045166,23800,0.0,0
2007-01-25,28.84240424507021,29.062097308499794,28.403020619526785,28.622711181640625,40526,0.0,0
2007-01-29,28.622711745281144,29.87809462926162,28.434405188144602,29.532865524291992,48213,0.0,0
2007-01-31,29.062097892144056,29.627017563774334,28.71686628572379,28.873788833618164,42363,0.0,0
2007-02-01,28.84240524340949,29.0934823242152,28.371637592885666,28.55994415283203,45448,0.0,0
2007-02-02,28.559944892659825,28.842405990554266,28.434406349004973,28.716867446899414,18913,0.0,0
2007-02-05,28.716864289740727,29.06209587216546,28.434403222900315,28.591325759887695,32168,0.0,0
2007-02-06,28.62271175646084,29.156249920091202,28.62271175646084,28.873788833618164,16925,0.0,0
2007-02-07,28.873787157163807,28.999325688453517,28.434403548307646,28.654096603393555,35127,0.0,0
2007-02-08,28.43441109805911,28.622717694334,28.246104501784217,28.37164306640625,20385,0.0,0
2007-02-09,27.995018005371094,28.6540946237798,27.775324965463028,27.995018005371094,18629,0.0,0
2007-02-12,27.93225046403552,27.93225046403552,26.739638124314418,26.896560668945312,21511,0.0,0
2007-02-13,25.860874803635298,27.24179640780887,25.860874803635298,26.6768741607666,15970,0.0,0
2007-02-14,26.739640831719427,27.304563050115668,26.551334259359347,26.927949905395508,12551,0.0,0
2007-02-15,26.896564348508367,27.618409153088187,26.865180335551873,27.27318000793457,11173,0.0,0
2007-02-19,27.492869993937045,28.52855981365727,27.492869993937045,28.089176177978516,28764,0.0,0
2007-02-20,28.246106078458734,28.246106078458734,27.304568041895763,27.461490631103516,15696,0.0,0
2007-02-21,27.367331716783692,27.712560826221015,27.11625463647519,27.618406295776367,29453,0.0,0
2007-02-22,27.806712565749244,27.806712565749244,27.116251914859234,27.179019927978516,17489,0.0,0
2007-02-23,27.304566582505746,27.367337115623727,26.551337694304248,26.582721710205078,20506,0.0,0
2007-02-26,26.36302763042174,26.99071787115226,25.295951219600664,26.645488739013672,16085,0.0,0
2007-02-27,26.45718132668093,27.555641818234914,26.45718132668093,27.147642135620117,10967,0.0,0
2007-02-28,25.233183886971265,26.990718610193092,25.2017998743386,26.802412033081055,20219,0.0,0
2007-03-01,26.771022046688575,27.492869251506065,26.111947861626305,26.614099502563477,19517,0.0,0
2007-03-02,26.896560652600602,27.02209918849218,26.36302500170608,26.488563537597656,17102,0.0,0
2007-03-05,25.170413722747643,26.99071631654718,25.170413722747643,25.390104293823242,31723,0.0,0
2007-03-06,25.82948963862173,26.049180224167863,24.98210630583805,25.201799392700195,18165,0.0,0
2007-03-07,26.04918308068841,26.04918308068841,24.479957293805256,24.699647903442383,26116,0.0,0
2007-03-08,24.57410390674049,25.860870768525512,24.57410390674049,25.547025680541992,22613,0.0,0
2007-03-09,25.264568643932588,25.735336351240168,25.13903008838734,25.32733917236328,20509,0.0,0
2007-03-12,25.295953779812272,25.82949203922239,24.91934059778322,25.578414916992188,12138,0.0,0
2007-03-13,25.57841498368714,25.82949210657202,24.9507246777912,25.17041778564453,47676,0.0,0
2007-03-14,24.95072106974839,25.295950187805445,24.605491951691334,25.07625961303711,18362,0.0,0
2007-03-15,25.64118180717839,25.64118180717839,24.95072106974839,25.07625961303711,21242,0.0,0
2007-03-16,25.107643227068625,25.107643227068625,24.542721041847734,24.731027603149414,17077,0.0,0
2007-03-19,24.856566045824874,25.107643127441406,24.60549146552418,25.107643127441406,15211,0.0,0
2007-03-20,25.201802156298022,25.233186171772427,24.51134130927966,24.699647903442383,9570,0.0,0
2007-03-21,24.76241843570748,24.950725029870203,24.542725324754066,24.699647903442383,9789,0.0,0
2007-03-22,24.793798446655273,25.076259542936295,24.636875893312027,24.793798446655273,12945,0.0,0
2007-03-23,25.044871948764992,25.044871948764992,24.479952281934903,24.57410430908203,26511,0.0,0
2007-03-26,24.636879872493573,24.982109045344608,24.605495857019168,24.699647903442383,6000,0.0,0
2007-03-28,25.01348869575986,25.01348869575986,24.511337031850097,24.731027603149414,13561,0.0,0
2007-03-29,24.542720628483348,25.076258794720406,24.47995260954525,25.044872283935547,17916,0.0,0
2007-03-30,25.107643127441406,25.735333330166895,24.950720576760034,25.107643127441406,19737,0.0,0
2007-04-02,25.10764075110102,25.35871780895409,23.538412891492758,24.354412078857422,26404,0.0,0
2007-04-03,24.79379567944249,24.79379567944249,24.22887354993089,24.354412078857422,7594,0.0,0
2007-04-04,24.95071915777776,24.95071915777776,24.166103947677218,24.41718101501465,23401,0.0,0
2007-04-05,24.19749499153865,25.076262390579405,24.19749499153865,24.856569290161133,7597,0.0,0
2007-04-09,25.076261659175692,26.049181071747395,25.076261659175692,25.92364501953125,23771,0.0,0
2007-04-10,25.327339030213327,26.676874117447223,25.327339030213327,26.394412994384766,31470,0.0,0
2007-04-11,26.36302640645347,26.771023543196446,26.331642396137223,26.519948959350586,7673,0.0,0
2007-04-12,26.36302898100363,26.61410358936883,26.049181343243916,26.394412994384766,18189,0.0,0
2007-04-13,26.457177866523228,26.990716035650543,26.111948757861924,26.268871307373047,9953,0.0,0
2007-04-16,26.39441276588583,26.55133533274913,26.04918111773368,26.206106185913086,9014,0.0,0
2007-04-17,26.174722172803644,26.614103358968013,26.04918111773368,26.206106185913086,6638,0.0,0
2007-04-18,26.363025412928305,26.363025412928305,25.986409799378958,26.174718856811523,9964,0.0,0
2007-04-19,25.703946780497095,26.55132997123642,25.703946780497095,26.30025291442871,23510,0.0,0
2007-04-20,26.67687009077715,26.67687009077715,26.30025448310242,26.488563537597656,7166,0.0,0
2007-04-23,26.99071560086144,27.241792676561005,25.892255270662673,26.174718856811523,53220,0.0,0
2007-04-24,26.551332396756234,26.676870936628298,26.206103288094926,26.268871307373047,9207,0.0,0
2007-04-25,26.04917855671597,26.51994871233834,26.04917855671597,26.331642150878906,11048,0.0,0
2007-04-26,26.237485885620117,26.55133096775107,26.1747178697202,26.237485885620117,6156,0.0,0
2007-04-27,26.080563344554637,26.58271497570103,25.79810227037364,26.237485885620117,18318,0.0,0
2007-04-30,25.892256005280462,26.425794180950696,25.892256005280462,26.331642150878906,10820,0.0,0
2007-05-03,26.425797949298158,26.833797641738013,26.425797949298158,26.739643096923828,11505,0.0,0
2007-05-04,26.927951227128545,26.927951227128545,26.36302898100363,26.394412994384766,17087,0.0,0
2007-05-07,26.080564004561488,26.676870175963845,26.080564004561488,26.111948013305664,12447,0.0,0
2007-05-08,26.708259465711848,26.708259465711848,25.26456976486256,25.578414916992188,14493,0.0,0
2007-05-09,25.45287366818352,25.45287366818352,25.013490001335466,25.139028549194336,18231,0.0,0
2007-05-10,25.57841221604239,26.049179894526173,25.107644537558613,25.139028549194336,20941,0.0,0
2007-05-11,25.641181201810504,25.986410311716973,24.95072048068173,25.4842586517334,7956,0.0,0
2007-05-14,25.42148771766715,26.363025504140204,25.42148771766715,25.79810333251953,7899,0.0,0
2007-05-15,25.578407128013776,25.923638691281585,25.515639117228076,25.672561645507812,12663,0.0,0
2007-05-16,25.672568234091855,26.17472245451179,24.950723418225294,25.4528751373291,53203,0.0,0
2007-05-17,25.7353334060774,26.363026111970214,25.04487268025323,25.390104293823242,92959,0.0,0
2007-05-18,25.421491213035114,25.735336351240168,25.295952657489867,25.32733917236328,7234,0.0,0
2007-05-21,25.92364501953125,26.488567259768285,25.421490805402286,25.92364501953125,40605,0.0,0
2007-05-22,25.923642121899075,26.300255239083523,25.73533306199103,25.98641014099121,26265,0.0,0
2007-05-23,25.98641088154053,26.48856505385105,25.98641088154053,26.143333435058594,30157,0.0,0
2007-05-24,26.143334789593723,26.551334450406276,25.829489666296688,25.892257690429688,17275,0.0,0
2007-05-25,25.79810333251953,26.04917790777199,25.735332812719573,25.79810333251953,10170,0.0,0
2007-05-28,26.67687136649613,26.67687136649613,25.51564298061243,25.955026626586914,6802,0.0,0
2007-05-29,25.735337493057003,26.237491737517406,25.51564688709276,25.578414916992188,11462,0.0,0
2007-05-30,25.73533323106727,25.860871771392123,25.421488130913055,25.4842586517334,14395,0.0,0
2007-05-31,25.42149089600296,25.860874584273695,25.233184315691535,25.264568328857422,6690,0.0,0
2007-06-01,25.29595110868893,25.703950763901265,24.919337966428298,25.139028549194336,22906,0.0,0
2007-06-04,25.860873650654604,25.860873650654604,25.139028867318434,25.201799392700195,13830,0.0,0
2007-06-05,24.887953717847623,25.95503022107544,24.887953717847623,25.7667236328125,16459,0.0,0
2007-06-06,25.484258651733395,26.01779432146923,25.421488130913055,25.4842586517334,12066,0.0,0
2007-06-07,25.421487886918467,25.986410062300283,25.233181328896464,25.703948974609375,9025,0.0,0
2007-06-08,25.70395347810729,26.26887575246712,25.48426287214305,25.578414916992188,13728,0.0,0
2007-06-11,25.51564688709276,25.986414615287206,25.452876355877088,25.578414916992188,11891,0.0,0
2007-06-12,25.484260181135227,25.672566752265542,25.139028549194336,25.139028549194336,11154,0.0,0
2007-06-13,25.201800302525648,25.5784134631485,25.17041628935976,25.264568328857422,3802,0.0,0
2007-06-14,25.32733917236328,25.60979779569492,25.32733917236328,25.32733917236328,7873,0.0,0
2007-06-15,25.73533383865801,26.73963968365186,24.54272142938903,25.07625961303711,11857,0.0,0
2007-06-18,25.233183085417483,25.4214896565478,24.95072197806402,25.139028549194336,4644,0.0,0
2007-06-19,24.825181716336402,25.170413324443363,24.5113366190143,25.044872283935547,10457,0.0,0
2007-06-20,25.107647254265185,25.29595384577072,24.919340662759655,25.17041778564453,9519,0.0,0
2007-06-21,24.919334932161572,25.484257078081573,24.919334932161572,25.295948028564453,13534,0.0,0
2007-06-22,25.23318340473307,25.57841253972671,25.10764485528556,25.201799392700195,16472,0.0,0
2007-06-25,26.676869124201357,29.470093317306638,25.484256828416587,27.210407257080078,75144,0.0,0
2007-06-26,27.932248259086304,28.559940889376076,27.241790117740873,27.367328643798828,43155,0.0,0
2007-06-27,28.026409294749115,28.026409294749115,26.708258216660234,26.959335327148438,13945,0.0,0
2007-06-28,27.30456299151752,27.68117863674543,26.488566178831043,26.645488739013672,10354,0.0,0
2007-06-29,26.896567084589364,26.896567084589364,26.771028518676758,26.771028518676758,9989,0.0,0
2007-07-02,26.6768741607666,27.398718976285487,26.551335605722084,26.6768741607666,10227,0.0,0
2007-07-03,26.67687118802009,26.990716289999884,26.23748754498521,26.457178115844727,18193,0.0,0
2007-07-04,26.36302583760605,26.86517749577848,26.111948757861924,26.268871307373047,19761,0.0,0
2007-07-05,26.645488739013672,27.053488396014906,26.394411642195067,26.645488739013672,13541,0.0,0
