Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2006-08-30,30.1048497445448,31.644697785116765,29.77611769543048,30.762313842773438,21844255,0.0,0.0
2006-08-31,31.125644293305697,31.463025683835006,29.784768097601244,30.035642623901367,11567840,0.0,0.0
2006-09-01,30.10484842000887,30.840169989622183,29.81937311888404,29.975088119506836,7154335,0.0,0.0
2006-09-04,30.208660712971252,30.554694819888606,29.68096348495972,29.802074432373047,4625510,0.0,0.0
2006-09-05,29.931829466276234,30.27786351213935,29.33492420218886,29.49928855895996,5355380,0.0,0.0
2006-09-06,29.741510384842826,30.69309895450477,29.516587290179185,29.888572692871094,6915065,0.0,0.0
2006-09-07,29.71555899227188,30.935324218067596,29.118653728593202,30.148099899291992,9068475,0.0,0.0
2006-09-08,30.338419432086468,30.74500894709546,29.949131949633742,30.2259578704834,4862320,0.0,0.0
2006-09-11,30.27786810758929,30.433583121858952,28.227624819739734,28.495798110961914,3804980,0.0,0.0
2006-09-12,28.547701321883526,29.075401783413316,27.70857086338367,28.867780685424805,3363415,0.0,0.0
2006-09-13,29.34357639739409,30.260564397322238,29.11865655591578,29.655006408691406,4597830,0.0,0.0
2006-09-14,30.001037621810976,30.148099946415574,29.153257838729438,29.447385787963867,3314985,0.0,0.0
2006-09-15,29.551199555007507,29.732865974191945,28.902388086469557,29.049453735351562,2022275,0.0,0.0
2006-09-18,29.222464144185594,29.879928205111224,28.660162915789765,28.81587791442871,3048305,0.0,0.0
2006-09-19,29.040804495827977,31.428432829905514,28.59961409715396,30.251920700073242,18169950,0.0,0.0
2006-09-20,29.940483563889284,30.762311987086818,29.77611589923454,30.113500595092773,5468650,0.0,0.0
2006-09-21,30.277861605215246,31.90421623830239,30.277861605215246,30.89206886291504,12873280,0.0,0.0
2006-09-22,31.1602487679294,31.82636219131677,30.34707301341742,30.8142147064209,8502630,0.0,0.0
2006-09-25,30.866123832296502,31.13430042126347,29.853976248152403,30.052947998046875,2650230,0.0,0.0
2006-09-26,30.25191657611708,30.39897892228542,29.170564148317936,29.308977127075195,2664830,0.0,0.0
2006-09-27,29.577139390965485,30.191349849000822,29.17055327370346,29.481983184814453,4706510,0.0,0.0
2006-09-28,29.58580163544376,29.897231647399835,28.82452863955397,29.12730598449707,2615720,0.0,0.0
2006-09-29,29.248418790383532,29.88857751692586,29.127304558310957,29.464689254760742,2495460,0.0,0.0
2006-10-03,29.689606657106197,29.689606657106197,28.668809884744405,28.789920806884766,1788070,0.0,0.0
2006-10-04,28.980245211364167,29.533897129189096,28.426593293539238,28.53905487060547,2659470,0.0,0.0
2006-10-05,28.893735762003065,30.312469500013016,28.867781061900143,30.19135856628418,5229525,0.0,0.0
2006-10-06,30.459524567987458,30.684447648423824,29.637696327977025,29.836668014526367,3148400,0.0,0.0
2006-10-09,28.824529542925223,29.83667711350354,28.824529542925223,29.47334098815918,1523610,0.0,0.0
2006-10-10,29.845319824763155,31.03048087640619,29.611747360566365,30.900720596313477,8220750,0.0,0.0
2006-10-11,31.056438485195045,31.69659718041871,29.3954796840244,29.66365623474121,7580945,0.0,0.0
2006-10-12,29.758816181654975,30.623898009028373,29.559844457336848,30.442228317260742,4100445,0.0,0.0
2006-10-13,30.727705485379914,33.89390469535862,30.580639865504402,33.06342697143555,26976015,0.0,0.0
2006-10-16,33.219146591768954,34.516769453947035,33.21049392467344,34.11017990112305,18604975,0.0,0.0
2006-10-17,34.08422922780776,34.22264220406175,32.276207869225594,32.48382568359375,5930280,0.0,0.0
2006-10-18,32.50977279147599,33.521916825152516,32.05127723346343,32.89040756225586,5745880,0.0,0.0
2006-10-19,33.132637197913375,33.56517816211597,31.89556977629191,32.21565246582031,4707180,0.0,0.0
2006-10-20,32.18104647280348,33.011524282417966,32.01667880421643,32.336761474609375,3085155,0.0,0.0
2006-10-23,33.348900307917674,33.46136185775683,32.380009686293704,32.726043701171875,3077055,0.0,0.0
2006-10-26,33.36620242382702,34.43025256725959,32.61358223457471,34.23993682861328,13128235,0.0,0.0
2006-10-27,34.25724557758305,35.32994870012515,33.86796132104022,34.2226448059082,8349075,0.0,0.0
2006-10-30,34.34375149141348,34.99256290510507,33.40946147168534,33.73819351196289,5572160,0.0,0.0
2006-10-31,34.98390827255872,35.45970592255208,32.87310977995989,33.426761627197266,11345355,0.0,0.0
2006-11-01,33.729546584364066,34.006372543556495,33.046131053846516,33.47867202758789,2617815,0.0,0.0
2006-11-02,33.57382631229074,34.17073157457164,33.23644163358391,33.65168380737305,3110345,0.0,0.0
2006-11-03,33.7381901838507,33.81604767781444,32.9596152442133,33.167236328125,2574155,0.0,0.0
2006-11-06,33.30565204872173,34.430257821530624,32.94231924674789,34.11882781982422,3786535,0.0,0.0
2006-11-07,34.49946828918223,35.987406964625684,34.44756218537784,34.69843673706055,8732795,0.0,0.0
2006-11-08,34.949309480668965,35.05311838288161,32.95961850476947,33.547874450683594,3710635,0.0,0.0
2006-11-09,33.80740529126441,37.094716148341064,33.236448017641166,36.65352249145508,17923335,0.0,0.0
2006-11-10,36.878439374036404,38.48749210746045,36.72272438047761,37.3455810546875,17421520,0.0,0.0
2006-11-13,37.54455136800503,37.68296432373857,36.59295940981494,36.843833923339844,5459405,0.0,0.0
2006-11-14,37.01685525869689,38.176065135623496,36.342089133304924,36.73137664794922,8294025,0.0,0.0
2006-11-15,37.008199724476086,37.37153581000311,36.03930899644618,36.26422882080078,3765615,0.0,0.0
2006-11-16,37.717568645718615,37.717568645718615,35.139625039476904,35.65867614746094,4060585,0.0,0.0
2006-11-17,35.900896153910175,36.073913180922034,33.5997786047208,34.101524353027344,3921920,0.0,0.0
2006-11-20,34.08422659984407,34.60327439577047,32.44921911262258,33.82469940185547,3538535,0.0,0.0
2006-11-21,34.57732732103846,36.783285679692966,34.35240416131752,36.52376174926758,9042610,0.0,0.0
2006-11-22,37.00820353129057,37.19852260995436,35.987406600317684,36.88709259033203,6375300,0.0,0.0
2006-11-23,36.88708314718248,39.01518333643729,36.852479087188556,37.87327575683594,14260345,0.0,0.0
2006-11-24,37.87328249129546,37.96844202318722,36.93034313895272,37.068756103515625,3163045,0.0,0.0
2006-11-27,37.11201463153371,38.513446378031645,36.67947368384696,38.02899932861328,5028980,0.0,0.0
2006-11-28,37.414788208313205,39.6726522559403,36.679469991281294,39.08439636230469,8608650,0.0,0.0
2006-11-29,39.274725298702286,40.624251147186925,39.274725298702286,39.71591567993164,7952975,0.0,0.0
2006-11-30,39.793766571465504,40.08789454334257,38.669160784885705,39.032493591308594,3329030,0.0,0.0
2006-12-01,39.04979227492809,40.12249516857932,39.04979227492809,39.54288864135742,3010850,0.0,0.0
2006-12-04,39.91487743536169,40.55503947889632,38.92868461966752,39.681304931640625,2867645,0.0,0.0
2006-12-05,39.79376361845687,41.12599040986344,39.655350659611074,40.459877014160156,5042245,0.0,0.0
2006-12-06,40.745351823348095,41.69694379184929,39.47368381002476,40.165748596191406,4971710,0.0,0.0
2006-12-07,40.13980242556666,40.79726323304293,39.75916426858377,40.209007263183594,3416845,0.0,0.0
2006-12-08,40.13979772615055,40.71940096093399,38.96328592417343,39.13630294799805,2878215,0.0,0.0
2006-12-11,39.10169845650717,39.36987170548475,36.333436005599324,36.705421447753906,2662085,0.0,0.0
2006-12-12,36.77463285900738,37.35423949123775,34.015022580252385,34.932010650634766,2813365,0.0,0.0
2006-12-13,35.46835558210276,36.8524852116381,34.023670487526836,36.34208679199219,2493540,0.0,0.0
2006-12-14,37.07741144224786,39.09305059021466,36.852488296106976,38.56535339355469,2390980,0.0,0.0
2006-12-15,38.82486720030464,39.447723773554614,38.27121544629366,38.39232635498047,2269055,0.0,0.0
